,ID,NEAR_DIST,Name,Category,Interview,Shape_Leng,Shape_Area,Region,AUG_2019,AUG_2020,AUG_2021,AUG_2022,AUG_2023,JUL_2019,JUL_2020,JUL_2021,JUL_2022,JUL_2023,SEP_2019,SEP_2020,SEP_2021,SEP_2022,SEP_2023,Grand Tota,geometry,AUG_2019_dummy,AUG_2020_dummy,AUG_2021_dummy,AUG_2022_dummy,AUG_2023_dummy,JUL_2019_dummy,JUL_2020_dummy,JUL_2021_dummy,JUL_2022_dummy,SEP_2019_dummy,SEP_2020_dummy,SEP_2021_dummy,SEP_2022_dummy,SEP_2023_dummy,Grand Tota_dummy,AUG_2019_percent,AUG_2020_percent,AUG_2021_percent,AUG_2022_percent,AUG_2023_percent,JUL_2019_percent,JUL_2020_percent,JUL_2021_percent,JUL_2022_percent,SEP_2019_percent,SEP_2020_percent,SEP_2021_percent,SEP_2022_percent,SEP_2023_percent,Grand Tota_percent
11,30028801680,11.72,Novo Horizonte do Oeste,Agrovila,2,5171.463338,1057995.35,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.89730293689276 -11.74326787743084, -61.89721320526728 -11.724469888080574, -61.89258619943154 -11.724528217881392, -61.89257813893686 -11.743274140143733, -61.89730293689276 -11.74326787743084))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
12,30028801740,8.56,Novo Horizonte do Oeste,Agrovila,2,5372.69914,1096047.499,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.97985976886135 -11.778717202331537, -61.95992275691939 -11.778814875561654, -61.95971647128941 -11.783348632708206, -61.97987044000125 -11.783259070037337, -61.97985976886135 -11.778717202331537))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
13,30028801960,15.24,Rolim de Moura,Agropolis,3,5003.983437,1009035.918,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.88828440835308 -11.806335395095472, -61.90644139991905 -11.806456593727182, -61.906438950341915 -11.801827089482426, -61.88815283481464 -11.801723082452442, -61.88817403293857 -11.802488717705494, -61.88814642449131 -11.803313970873996, -61.88820539708836 -11.803744824905532, -61.88836227314997 -11.803984673733035, -61.88842240277992 -11.804128449700077, -61.88853003888615 -11.804535570817578, -61.88851481316265 -11.805301063575255, -61.88828440835308 -11.806335395095472))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
14,30028802040,10.27,Alta Floresta d'Oeste,Agrovila,2,1726.417459,154159.4233,3,,,,,,,,,,,,,,0.74900349,,0.74900349,"POLYGON ((-62.00389948046437 -11.835090947569315, -62.003851955203 -11.837373751482856, -62.00947248517953 -11.837389205586954, -62.009492333289714 -11.835107856649211, -62.00389948046437 -11.835090947569315))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,0.000485863,,0.000485863
15,30028802050,11.96,Alta Floresta d'Oeste,Agrovila,1,4434.347276,857771.0282,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.95696719673832 -11.82843967165774, -61.941122858108464 -11.828005766931499, -61.94102351892725 -11.832536284023552, -61.95669757613301 -11.832936386369783, -61.956749341001434 -11.832094453265396, -61.95691601432089 -11.829128493523635, -61.95696719673832 -11.82843967165774))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
16,30028817021,9.98,Nova Estrela,Agrovila,2,5459.151913,636766.8508,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.57214690029128 -11.642705403766792, -61.5948096591068 -11.642961844022748, -61.594830407499906 -11.640664266439243, -61.57215335780182 -11.640345138819095, -61.57214690029128 -11.642705403766792))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
17,30028802350,11.28,Nova Estrela,Agrovila,1,6121.88567,1281840.548,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.571628309024234 -11.821333651443952, -61.571623536341804 -11.825901068967365, -61.595085941157535 -11.825494632332942, -61.595062074584405 -11.824461126995182, -61.5950200020286 -11.823188321275753, -61.59511498291386 -11.821705688801647, -61.59512835526015 -11.820988124265003, -61.571628309024234 -11.821333651443952))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
18,30028802460,4.58,Rolim de Moura,Agropolis,2,4792.961581,951896.2005,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.82834031530903 -11.708003300267528, -61.82372180988221 -11.708022514589006, -61.82397870327795 -11.725163064938585, -61.82477985243477 -11.725154395989732, -61.82785088297408 -11.72513111095089, -61.8285792554327 -11.725110171702866, -61.82834031530903 -11.708003300267528))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
19,30028802910,18.17,Rolim de Moura,Agropolis,2,7045.713805,3033348.664,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.66789689871076 -11.59470436541659, -61.66791468551587 -11.599225890082009, -61.66793165931061 -11.603543697552293, -61.67218693274314 -11.603636680570958, -61.68388270700237 -11.603914769570872, -61.686444906229916 -11.603940785039622, -61.68645027036117 -11.595090709743188, -61.68644914445169 -11.590587092633614, -61.686485443228676 -11.590392838362373, -61.686297065827745 -11.59037896209426, -61.66787837325724 -11.58999920735503, -61.6678790998818 -11.590183758024995, -61.66789689871076 -11.59470436541659))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
20,30028802970,13.07,Nova Estrela,Agrovila,4,5086.573723,1018403.115,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.62991413493316 -11.647968929827016, -61.64870345454512 -11.6478528024368, -61.64870420654945 -11.64540303700592, -61.648705634793835 -11.643409456153648, -61.62998016859324 -11.64340500042342, -61.62996167285222 -11.644208678918316, -61.62994859855917 -11.646878267914266, -61.62991413493316 -11.647968929827016))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
21,30028803050,12.14,Rolim de Moura,Agropolis,1,4882.435337,971703.8306,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.79603362156211 -11.612589313803415, -61.796038933001526 -11.617155398177122, -61.81384211033021 -11.616911070471064, -61.81381659272118 -11.616059298630027, -61.81380964215876 -11.61311192542545, -61.813812595458835 -11.612413379489015, -61.79603362156211 -11.612589313803415))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
22,30028803190,7.46,Santa Luzia d'Oeste,Agrovila,1,5264.916145,1070665.238,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.7954301177251 -11.84314423800585, -61.795424903203966 -11.847668767239613, -61.796484256854704 -11.847654696664971, -61.8149774523229 -11.84741540018331, -61.81504048350079 -11.846315210949925, -61.81506585226264 -11.845817309117992, -61.814989208946024 -11.844688240449123, -61.81500391356107 -11.843530434037978, -61.81497765728625 -11.842860483150087, -61.79649146905995 -11.843133861454891, -61.7954301177251 -11.84314423800585))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
23,30028803470,14.01,Rolim de Moura,Agropolis,3,3309.42338,548110.9029,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.715510221365825 -11.62141167739344, -61.71543127033131 -11.618901888360224, -61.71437949753486 -11.616485823921062, -61.70945368785314 -11.617511637825164, -61.706918937103666 -11.617816064491311, -61.70591528152767 -11.617610617765742, -61.70424974502141 -11.617940772569105, -61.70422541216865 -11.61895132735698, -61.70429196237847 -11.621353427265467, -61.70428765627926 -11.621491367471865, -61.715510221365825 -11.62141167739344))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
24,30028803690,10.77,Nova Estrela,Agrovila,1,5134.181563,812173.0748,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.643188192850545 -11.679664517554091, -61.64318253967013 -11.680826516195856, -61.62962898629843 -11.680790379834313, -61.62958914906387 -11.684183063016734, -61.63162246522771 -11.684071153571843, -61.64687539893768 -11.683936327944195, -61.648682376948464 -11.683930142335102, -61.64868414261398 -11.681649179782296, -61.64868560304808 -11.679665542012444, -61.643188192850545 -11.679664517554091))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
25,30028804040,12.99,Rolim de Moura,Agropolis,1,5482.750955,1567761.312,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.86970754738309 -11.815309902672709, -61.86970541380285 -11.810836893439648, -61.869704219842276 -11.809377842166754, -61.85193593619199 -11.809292246488926, -61.85184231855092 -11.810701958441133, -61.85187436009239 -11.811754710087467, -61.85186469587777 -11.814075223727468, -61.85189145202736 -11.81523082361892, -61.851984571206366 -11.816593461195788, -61.86970844633744 -11.816678370624913, -61.86970754738309 -11.815309902672709))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
26,30028804150,13.56,Jardinopolis,Agrovila,1,5121.425221,1034629.861,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.832719020001 -11.598713025752115, -61.81382707765464 -11.598899724933515, -61.81386827672177 -11.603415955656743, -61.8327222298365 -11.603288212954025, -61.832719020001 -11.598713025752115))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
27,30028804300,11.17,Nova Estrela,Agrovila,4,5688.074976,1596972.328,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.648689756467235 -11.675134995924887, -61.648692222317415 -11.672411798771563, -61.648693847493725 -11.670578247481691, -61.64869408145806 -11.670332293442106, -61.629649171778894 -11.670469051857825, -61.62964734195019 -11.670604483104087, -61.629654602441384 -11.671597262880423, -61.62964203398916 -11.674156811262787, -61.629625200175944 -11.675113593126536, -61.62966987469658 -11.677374317544102, -61.64868831592913 -11.677335532587845, -61.648689756467235 -11.675134995924887))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
28,30028804380,9.09,Rolim de Moura,Agropolis,3,5407.953963,1450914.372,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.85122928238871 -11.691010844857738, -61.86911964905162 -11.69145350261396, -61.869114440137984 -11.69027256917331, -61.86910975718331 -11.689211056650775, -61.86908914344633 -11.68475344369568, -61.851161842239 -11.684260797495687, -61.85121841350959 -11.684612986528727, -61.85144969444097 -11.685034964925858, -61.85144772323659 -11.685513424974642, -61.85130899770639 -11.68619229582926, -61.85117094181227 -11.686708489035153, -61.85120174681122 -11.687205654997172, -61.85103999061283 -11.687856288564497, -61.85100723407601 -11.68873653965025, -61.851226070112496 -11.689913624935597, -61.85122928238871 -11.691010844857738))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
29,30028804410,5.41,Rolim de Moura,Agropolis,1,4489.422561,503557.3897,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.814575427101545 -11.691437837204845, -61.814595573719764 -11.693776088658801, -61.83286055305917 -11.693499370840298, -61.83285505520976 -11.691266012667418, -61.814575427101545 -11.691437837204845))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
30,30028804500,4.67,Rolim de Moura,Agropolis,1,4923.338454,725270.9072,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.75954206049885 -11.681632335278374, -61.76547123738057 -11.681644461148007, -61.765508661284315 -11.685192631878975, -61.77762097398471 -11.685032162352321, -61.77761450218358 -11.68374030211876, -61.77758763780789 -11.681563208123427, -61.77759214671995 -11.680534545468124, -61.75953919980107 -11.680741271984195, -61.75954206049885 -11.681632335278374))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
31,30028804950,5.93,Rolim de Moura,Agropolis,1,4442.181189,385673.2489,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.76506611393219 -11.773215194213801, -61.760050729900975 -11.773178591900962, -61.76005689302059 -11.774899827539688, -61.77871192474048 -11.775023253133137, -61.77871031601302 -11.77456582360558, -61.77867807087971 -11.773315448765745, -61.76658114847321 -11.773221755967343, -61.76506611393219 -11.773215194213801))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
32,30028805820,4.91,Nova Estrela,Agrovila,1,5968.355437,1283413.184,3,,,,,0.19459415,,,,,,,,,,,0.19459415,"POLYGON ((-61.548965821727386 -11.767659218363818, -61.548996530688434 -11.768747764743072, -61.54917891709472 -11.770829796502063, -61.549181756312606 -11.772154661777293, -61.57166357224801 -11.772268215178197, -61.57166517510024 -11.767332826270335, -61.548965821727386 -11.767659218363818))",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,1.52E-05,,,,,,,,,,1.52E-05
